date,pool_price,visser_prod,bissell_prod,month,combined_production,combined_revenue
2025-03-09,17.415454545454544,13.0,,3,13.0,226.40090909090907
2025-03-10,52.807391304347824,24.7,,3,24.7,1304.3425652173912
2025-03-11,29.756521739130434,43.9,,3,43.9,1306.311304347826
2025-03-12,43.33304347826087,15.0,,3,15.0,649.9956521739131
2025-03-13,30.24739130434783,6.7,,3,6.7,202.65752173913046
2025-03-14,36.33347826086956,3.4,,3,3.4,123.53382608695651
2025-03-15,57.71869565217391,2.8,,3,2.8,161.61234782608696
2025-03-16,48.92304347826087,7.5,,3,7.5,366.92282608695655
2025-03-17,52.42304347826087,15.8,,3,15.8,828.2840869565218
2025-03-18,32.01173913043478,53.4,,3,53.4,1709.4268695652174
2025-03-19,20.67608695652174,50.0,,3,50.0,1033.804347826087
2025-03-20,22.10652173913044,37.2,,3,37.2,822.3626086956524
2025-03-21,14.787391304347826,48.3,,3,48.3,714.231
2025-03-22,25.74695652173913,52.0,,3,52.0,1338.8417391304347
2025-03-23,23.141739130434782,53.9,,3,53.9,1247.3397391304347
2025-03-24,29.10130434782609,45.4,,3,45.4,1321.1992173913045
2025-03-25,51.76869565217392,53.0,,3,53.0,2743.7408695652175
2025-03-26,33.20956521739131,41.8,,3,41.8,1388.1598260869566
2025-03-27,26.59217391304348,0.5,,3,0.5,13.29608695652174
2025-03-28,98.4282608695652,0.2,,3,0.2,19.68565217391304
2025-03-29,42.04260869565218,0.6,,3,0.6,25.225565217391306
2025-03-30,37.41913043478261,1.0,,3,1.0,37.41913043478261
2025-03-31,30.541304347826088,17.5,,3,17.5,534.4728260869565
2025-04-01,57.01304347826087,38.8,,4,38.8,2212.1060869565217
2025-04-02,60.33434782608696,56.3,,4,56.3,3396.8237826086956
2025-04-03,38.59913043478261,49.1,,4,49.1,1895.2173043478263
2025-04-04,58.7304347826087,58.3,,4,58.3,3423.984347826087
2025-04-05,27.84521739130435,56.8,,4,56.8,1581.6083478260869
2025-04-06,25.83782608695652,56.5,,4,56.5,1459.8371739130434
2025-04-07,11.72086956521739,39.9,,4,39.9,467.66269565217385
2025-04-08,21.69086956521739,38.0,,4,38.0,824.2530434782608
2025-04-09,29.93608695652173,55.5,,4,55.5,1661.452826086956
2025-04-10,59.07608695652174,52.4,,4,52.4,3095.586956521739
2025-04-11,8.58695652173913,51.0,,4,51.0,437.9347826086957
2025-04-12,20.609130434782607,51.333999999999975,,4,51.333999999999975,1057.94910173913
2025-04-13,14.501739130434782,51.0,,4,51.0,739.5886956521739
2025-04-14,43.01695652173913,51.84149999999993,,4,51.84149999999993,2230.0635515217364
2025-04-15,12.991304347826087,47.71149999999996,,4,47.71149999999996,619.8346173913038
2025-04-16,15.605217391304349,43.9,,4,43.9,685.0690434782609
2025-04-17,27.66695652173913,78.8,,4,78.8,2180.1561739130434
2025-04-18,34.11739130434783,58.25749999999999,,4,58.25749999999999,1987.5939239130432
2025-04-19,8.849565217391303,43.604999999999954,,4,43.604999999999954,385.8852913043474
2025-04-20,49.81478260869565,54.885999999999946,,4,54.885999999999946,2734.134158260867
2025-04-21,52.81304347826087,38.60849999999999,,4,38.60849999999999,2039.0323891304345
2025-04-22,41.004782608695656,41.25599999999998,,4,41.25599999999998,1691.6933113043472
2025-04-23,45.35304347826087,49.43299999999993,,4,49.43299999999993,2241.9369982608664
2025-04-24,46.12086956521739,49.896,,4,49.896,2301.246907826087
2025-04-25,10.02608695652174,58.52650000000004,,4,58.52650000000004,586.79177826087
2025-04-26,35.26608695652174,81.0,,4,81.0,2856.553043478261
2025-04-27,25.945652173913043,5.8,,4,5.8,150.48478260869564
2025-04-28,47.74086956521739,41.80550000000003,,4,41.80550000000003,1995.830922608697
2025-04-29,17.36608695652174,35.1,,4,35.1,609.5496521739132
2025-04-30,49.27826086956522,27.5,,4,27.5,1355.1521739130437
2025-05-01,33.09652173913044,33.1,,5,33.1,1095.4948695652176
2025-05-02,33.80086956521739,86.8,,5,86.8,2933.9154782608693
2025-05-03,24.98608695652174,80.8,,5,80.8,2018.8758260869563
2025-05-04,14.061304347826086,0.1,,5,0.1,1.4061304347826087
2025-05-05,113.49652173913044,34.53350000000004,,5,34.53350000000004,3919.4321334782658
2025-05-06,14.90608695652174,82.28150000000007,,5,82.28150000000007,1226.4951939130444
2025-05-07,18.503478260869567,53.1,,5,53.1,982.534695652174
2025-05-08,9.52782608695652,5.9,,5,5.9,56.21417391304347
2025-05-09,29.127826086956524,67.5,,5,67.5,1966.1282608695653
2025-05-10,34.68304347826087,70.1,,5,70.1,2431.281347826087
2025-05-11,42.71826086956521,83.1,,5,83.1,3549.887478260869
2025-05-12,33.34869565217391,21.9,,5,21.9,730.3364347826085
2025-05-13,113.99782608695652,73.55650000000001,,5,73.55650000000001,8385.281094565218
2025-05-14,24.91391304347826,58.4,,5,58.4,1454.9725217391303
2025-05-15,27.920869565217394,10.0,,5,10.0,279.20869565217396
2025-05-16,38.17391304347826,7.5,,5,7.5,286.30434782608694
2025-05-17,28.41434782608696,77.0,,5,77.0,2187.9047826086958
2025-05-18,14.772173913043478,42.0,,5,42.0,620.4313043478261
2025-05-19,29.28652173913044,21.3,,5,21.3,623.8029130434784
2025-05-20,17.16086956521739,17.4,,5,17.4,298.5991304347825
2025-05-21,41.25347826086957,30.7,,5,30.7,1266.4817826086958
2025-05-22,40.94826086956522,52.9,,5,52.9,2166.163
2025-05-23,51.05173913043478,21.6,,5,21.6,1102.7175652173914
2025-05-24,27.649565217391302,94.2,,5,94.2,2604.589043478261
2025-05-25,18.58217391304348,95.2,,5,95.2,1769.0229565217394
2025-05-26,9.307826086956522,83.7,,5,83.7,779.0650434782609
2025-05-27,111.82521739130436,75.2,,5,75.2,8409.256347826089
2025-05-28,248.6117391304348,89.92050000000016,,5,89.92050000000016,22355.291888478303
2025-05-29,12.15304347826087,91.4315000000001,,5,91.4315000000001,1111.1709947826098
2025-05-30,22.88695652173913,93.4,,5,93.4,2137.641739130435
2025-05-31,8.408695652173913,68.8,,5,68.8,578.5182608695652
2025-06-01,6.947391304347826,24.3,,6,24.3,168.82160869565217
2025-06-02,13.16,67.2,,6,67.2,884.3520000000001
2025-06-03,11.172173913043478,79.0,,6,79.0,882.6017391304348
2025-06-04,89.92739130434782,73.2,,6,73.2,6582.685043478261
2025-06-05,43.24260869565217,86.3,,6,86.3,3731.8371304347825
2025-06-06,12.77695652173913,41.8,,6,41.8,534.0767826086956
2025-06-07,6.34695652173913,37.6,,6,37.6,238.6455652173913
2025-06-08,176.84826086956522,87.1,,6,87.1,15403.48352173913
2025-06-09,12.46913043478261,95.0,,6,95.0,1184.567391304348
2025-06-10,28.635652173913044,83.5,,6,83.5,2391.0769565217392
2025-06-11,29.50521739130435,62.0,,6,62.0,1829.3234782608697
2025-06-12,167.8313043478261,14.6,,6,14.6,2450.337043478261
2025-06-13,19.381304347826084,23.6,,6,23.6,457.3987826086956
2025-06-14,64.87,32.7,,6,32.7,2121.2490000000003
